Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
576,576,0,ff,3f
577,577,0,ff,44
578,578,0,fc,49
579,579,0,f8,4e
580,580,0,f1,53
581,581,0,e9,58
582,582,0,e0,5d
583,583,0,d5,62
584,584,0,c8,67
585,585,0,bb,6c
586,586,0,ac,71
587,587,0,9d,76
588,588,0,8e,7b
589,589,0,7e,80
590,590,0,6e,85
591,591,0,5f,8a
592,592,0,50,8f
593,593,0,42,94
594,594,0,34,99
595,595,0,28,9e
596,596,0,1d,a3
597,597,0,14,a8
598,598,0,0c,ad
599,599,0,06,b2
600,600,0,02,b7
601,601,0,00,bc
602,602,0,00,c1
603,603,0,01,c6
604,604,0,05,cb
605,605,0,0a,d0
606,606,0,11,d5
607,607,0,1a,da
608,608,0,25,df
609,609,0,30,e4
610,610,0,3d,e9
611,611,0,4b,ee
612,612,0,5a,f3
613,613,0,6a,f8
614,614,0,79,fd
615,615,0,86,02
616,616,0,95,07
617,617,0,a5,0c
618,618,0,b4,11
619,619,0,c2,16
620,620,0,cf,1b
621,621,0,da,20
622,622,0,e5,25
623,623,0,ee,2a
624,624,0,f5,2f
625,625,0,fa,34
626,626,0,fe,39
627,627,0,ff,3e
628,628,0,ff,43
629,629,0,fd,48
630,630,0,f9,4d
631,631,0,f3,52
632,632,0,eb,57
633,633,0,e2,5c
634,634,0,d7,61
635,635,0,cb,66
636,636,0,bd,6b
637,637,0,af,70
638,638,0,a0,75
639,639,0,91,7a
640,640,0,81,7f
641,641,0,71,84
642,642,0,62,89
643,643,0,53,8e
644,644,0,44,93
645,645,0,37,98
646,646,0,2a,9d
647,647,0,1f,a2
648,648,0,16,a7
649,649,0,0e,ac
650,650,0,07,b1
651,651,0,03,b6
652,652,0,00,bb
653,653,0,00,c0
654,654,0,01,c5
655,655,0,04,ca
656,656,0,09,cf
657,657,0,10,d4
658,658,0,18,d9
659,659,0,23,de
660,660,0,2e,e3
661,661,0,3b,e8
662,662,0,49,ed
663,663,0,57,f2
664,664,0,66,f7
665,665,0,76,fc
666,666,0,83,01
667,667,0,92,06
668,668,0,a2,0b
669,669,0,b1,10
670,670,0,bf,15
671,671,0,cc,1a
672,672,0,d8,1f
673,673,0,e3,24
674,674,0,ec,29
675,675,0,f3,2e
676,676,0,f9,33
677,677,0,fd,38
678,678,0,ff,3d
679,679,0,ff,42
680,680,0,fd,47
681,681,0,fa,4c
682,682,0,f4,51
683,683,0,ed,56
684,684,0,e4,5b
685,685,0,d9,60
686,686,0,cd,65
687,687,0,c0,6a
688,688,0,b2,6f
689,689,0,a3,74
690,690,0,94,79
691,691,0,84,7e
692,692,0,74,83
693,693,0,65,88
694,694,0,56,8d
695,695,0,47,92
696,696,0,39,97
697,697,0,2d,9c
698,698,0,21,a1
699,699,0,17,a6
700,700,0,0f,ab
701,701,0,08,b0
702,702,0,04,b5
703,703,0,01,ba
704,704,0,00,bf
705,705,0,00,c4
706,706,0,03,c9
707,707,0,08,ce
708,708,0,0e,d3
709,709,0,17,d8
710,710,0,20,dd
711,711,0,2c,e2
712,712,0,38,e7
713,713,0,46,ec
714,714,0,54,f1
715,715,0,63,f6
716,716,0,73,fb
717,717,0,7f,00
718,718,0,8f,05
719,719,0,9f,0a
720,720,0,ae,0f
721,721,0,bc,14
722,722,0,c9,19
723,723,0,d6,1e
724,724,0,e1,23
725,725,0,ea,28
726,726,0,f2,2d
727,727,0,f8,32
728,728,0,fd,37
729,729,0,ff,3c
730,730,0,ff,41
731,731,0,fe,46
732,732,0,fb,4b
733,733,0,f5,50
734,734,0,ee,55
735,735,0,e6,5a
736,736,0,db,5f
