Sample in Buffer,Sample in Window,TRIGGER,b[7:0],a,c[7:0]
895,895,0,ec,0,46
896,896,0,ed,0,49
897,897,0,ee,0,4b
898,898,0,ef,0,4e
899,899,0,f0,0,51
900,900,0,f1,0,54
901,901,0,f2,0,57
902,902,0,f3,0,5a
903,903,0,f4,0,5d
904,904,0,f5,0,60
905,905,0,f6,0,63
906,906,0,f7,0,66
907,907,0,f8,0,6a
908,908,0,f9,0,6d
909,909,0,fa,0,70
910,910,0,fb,0,73
911,911,0,fc,0,76
912,912,0,fd,0,79
913,913,0,fe,0,7c
914,914,0,ff,0,7f
915,915,0,00,0,7f
916,916,0,01,0,83
917,917,0,02,0,86
918,918,0,03,0,89
919,919,0,04,0,8c
920,920,0,05,0,8f
921,921,0,06,0,92
922,922,0,07,0,95
923,923,0,08,0,99
924,924,0,09,0,9c
925,925,0,0a,0,9f
926,926,0,0b,0,a2
927,927,0,0c,0,a5
928,928,0,0d,0,a8
929,929,0,0e,0,ab
930,930,0,0f,0,ae
931,931,0,10,0,b1
932,932,0,11,0,b4
933,933,0,12,0,b6
934,934,0,13,0,b9
935,935,0,14,0,bc
936,936,0,15,0,bf
937,937,0,16,0,c2
938,938,0,17,0,c4
939,939,0,18,0,c7
940,940,0,19,0,c9
941,941,0,1a,0,cc
942,942,0,1b,0,cf
943,943,0,1c,0,d1
944,944,0,1d,0,d3
945,945,0,1e,0,d6
946,946,0,1f,0,d8
947,947,0,20,0,da
948,948,0,21,0,dc
949,949,0,22,0,df
950,950,0,23,0,e1
951,951,0,24,0,e3
952,952,0,25,0,e5
953,953,0,26,0,e7
954,954,0,27,0,e8
955,955,0,28,0,ea
956,956,0,29,0,ec
957,957,0,2a,0,ee
958,958,0,2b,0,ef
959,959,0,2c,0,f1
960,960,0,2d,0,f2
961,961,0,2e,0,f3
962,962,0,2f,0,f5
963,963,0,30,0,f6
964,964,0,31,0,f7
965,965,0,32,0,f8
966,966,0,33,0,f9
967,967,0,34,0,fa
968,968,0,35,0,fb
969,969,0,36,0,fc
970,970,0,37,0,fd
971,971,0,38,0,fd
972,972,0,39,0,fe
973,973,0,3a,0,fe
974,974,0,3b,0,ff
975,975,0,3c,0,ff
976,976,0,3d,0,ff
977,977,0,3e,0,ff
978,978,0,3f,0,ff
979,979,0,40,0,ff
980,980,0,41,0,ff
981,981,0,42,0,ff
982,982,0,43,0,ff
983,983,0,44,0,ff
984,984,0,45,0,fe
985,985,0,46,0,fe
986,986,0,47,0,fd
987,987,0,48,0,fd
988,988,0,49,0,fc
989,989,0,4a,0,fb
990,990,0,4b,0,fb
991,991,0,4c,0,fa
992,992,0,4d,0,f9
993,993,0,4e,0,f8
994,994,0,4f,0,f7
995,995,0,50,0,f5
996,996,0,51,0,f4
997,997,0,52,0,f3
998,998,0,53,0,f1
999,999,0,54,0,f0
1000,1000,0,55,0,ee
1001,1001,0,56,0,ed
1002,1002,0,57,0,eb
1003,1003,0,58,0,e9
1004,1004,0,59,0,e8
1005,1005,0,5a,0,e6
1006,1006,0,5b,0,e4
1007,1007,0,5c,0,e2
1008,1008,0,5d,0,e0
1009,1009,0,5e,0,de
1010,1010,0,5f,0,db
1011,1011,0,60,0,d9
1012,1012,0,61,0,d7
1013,1013,0,62,0,d5
1014,1014,0,63,0,d2
1015,1015,0,64,0,d0
1016,1016,0,65,0,cd
1017,1017,0,66,0,cb
1018,1018,0,67,0,c8
1019,1019,0,68,0,c6
1020,1020,0,69,0,c3
1021,1021,0,6a,0,c0
1022,1022,0,6b,0,bd
1023,1023,0,6c,0,bb
